分拣中心,日期,小时,货量
SC47,2023/11/5,23,3129
SC47,2023/11/19,17,1234
SC47,2023/11/9,1,3664
SC47,2023/11/19,3,2669
SC47,2023/11/23,18,1419
SC47,2023/11/2,11,2680
SC47,2023/11/28,15,1331
SC47,2023/11/7,16,494
SC47,2023/11/5,4,2157
SC47,2023/11/10,21,3050
SC47,2023/11/14,22,3742
SC47,2023/11/23,8,0
SC47,2023/11/19,16,683
SC47,2023/11/27,18,1002
SC47,2023/11/5,13,1682
SC47,2023/11/8,22,3533
SC47,2023/11/4,8,0
SC47,2023/11/24,17,673
SC47,2023/11/14,18,2510
SC47,2023/11/23,7,0
SC47,2023/11/1,17,4052
SC47,2023/11/8,15,1029
SC47,2023/11/29,4,2349
SC47,2023/11/7,7,0
SC47,2023/11/2,4,2365
SC47,2023/11/4,6,0
SC47,2023/11/1,10,4038
SC47,2023/11/27,8,0
SC47,2023/11/20,2,3214
SC47,2023/11/9,9,600
SC47,2023/11/29,23,2844
SC47,2023/11/14,10,933
SC47,2023/11/28,6,0
SC47,2023/11/6,8,0
SC47,2023/11/29,13,2197
SC47,2023/11/2,13,3337
SC47,2023/11/13,11,2074
SC47,2023/11/18,7,0
SC47,2023/11/5,16,614
SC47,2023/11/22,18,1290
SC47,2023/11/27,2,2832
SC47,2023/11/16,4,2511
SC47,2023/11/9,7,0
SC47,2023/11/23,22,3178
SC47,2023/11/30,17,797
SC47,2023/11/12,5,1375
SC47,2023/11/23,12,2717
SC47,2023/11/29,7,0
SC47,2023/11/1,16,2775
SC47,2023/11/6,14,3475
SC47,2023/11/4,17,1031
SC47,2023/11/25,9,537
SC47,2023/11/15,7,0
SC47,2023/11/26,1,2595
SC47,2023/11/12,8,1976
SC47,2023/11/18,1,3242
SC47,2023/11/13,18,1994
SC47,2023/11/23,21,2431
SC47,2023/11/3,19,2572
SC47,2023/11/17,15,1324
SC47,2023/11/6,15,1080
SC47,2023/11/13,2,3567
SC47,2023/11/7,12,3151
SC47,2023/11/7,21,1978
SC47,2023/11/23,13,1990
SC47,2023/11/2,7,2845
SC47,2023/11/23,23,2920
SC47,2023/11/14,7,448
SC47,2023/11/6,10,1457
SC47,2023/11/2,5,2485
SC47,2023/11/13,13,1939
SC47,2023/11/29,15,1506
SC47,2023/11/13,4,1963
SC47,2023/11/13,20,3263
SC47,2023/11/10,9,584
SC47,2023/11/16,9,564
SC47,2023/11/25,0,2867
SC47,2023/11/5,17,1071
SC47,2023/11/1,6,2516
SC47,2023/11/19,12,2269
SC47,2023/11/29,22,2716
SC47,2023/11/19,20,1899
SC47,2023/11/15,6,0
SC47,2023/11/4,10,1389
SC47,2023/11/11,0,5226
SC47,2023/11/8,8,0
SC47,2023/11/29,5,1903
SC47,2023/11/5,20,2646
SC47,2023/11/14,5,2133
SC47,2023/11/10,13,1919
SC47,2023/11/16,13,1973
SC47,2023/11/22,0,3331
SC47,2023/11/7,1,3500
SC47,2023/11/20,15,990
SC47,2023/11/26,11,1646
SC47,2023/11/13,3,3201
SC47,2023/11/5,9,685
SC47,2023/11/30,10,1155
SC47,2023/11/28,10,1272
SC47,2023/11/2,22,3690
SC47,2023/11/19,2,2781
SC47,2023/11/28,17,630
SC47,2023/11/18,19,1479
SC47,2023/11/7,4,1514
SC47,2023/11/8,3,3061
SC47,2023/11/15,19,2108
SC47,2023/11/20,0,2883
SC47,2023/11/17,2,3617
SC47,2023/11/7,22,3400
SC47,2023/11/13,19,2219
SC47,2023/11/3,15,878
SC47,2023/11/24,19,1741
SC47,2023/11/12,16,2130
SC47,2023/11/24,6,0
SC47,2023/11/14,11,2156
SC47,2023/11/20,19,1897
SC47,2023/11/5,10,1429
SC47,2023/11/6,9,709
SC47,2023/11/4,20,2354
SC47,2023/11/1,11,4326
SC47,2023/11/24,11,2285
SC47,2023/11/5,6,0
SC47,2023/11/6,17,739
SC47,2023/11/7,23,3388
SC47,2023/11/22,11,2072
SC47,2023/11/7,8,0
SC47,2023/11/13,21,3713
SC47,2023/11/11,5,1744
SC47,2023/11/1,19,3134
SC47,2023/11/8,6,0
SC47,2023/11/27,9,571
SC47,2023/11/21,10,1199
SC47,2023/11/11,14,4676
SC47,2023/11/14,17,1080
SC47,2023/11/23,1,3051
SC47,2023/11/18,6,0
SC47,2023/11/17,20,2381
SC47,2023/11/19,21,2298
SC47,2023/11/25,14,2975
SC47,2023/11/28,18,936
SC47,2023/11/24,16,709
SC47,2023/11/13,6,506
SC47,2023/11/9,14,2875
SC47,2023/11/28,1,2909
SC47,2023/11/26,22,2742
SC47,2023/11/22,17,912
SC47,2023/11/4,1,4043
SC47,2023/11/20,22,3155
SC47,2023/11/20,7,0
SC47,2023/11/2,15,604
SC47,2023/11/22,22,3110
SC47,2023/11/12,6,2179
SC47,2023/11/4,18,1579
SC47,2023/11/12,0,4931
SC47,2023/11/14,19,2088
SC47,2023/11/22,19,2004
SC47,2023/11/3,14,2525
SC47,2023/11/10,18,1114
SC47,2023/11/6,5,1126
SC47,2023/11/27,14,3063
SC47,2023/11/20,11,2212
SC47,2023/11/12,3,4318
SC47,2023/11/6,12,2710
SC47,2023/11/26,0,2736
SC47,2023/11/24,14,2992
SC47,2023/11/27,20,2410
SC47,2023/11/9,22,3279
SC47,2023/11/14,0,3865
SC47,2023/11/15,11,1789
SC47,2023/11/25,4,2492
SC47,2023/11/25,23,2704
SC47,2023/11/17,6,0
SC47,2023/11/11,4,3989
SC47,2023/11/4,16,634
SC47,2023/11/2,12,4551
SC47,2023/11/2,21,3175
SC47,2023/11/24,9,561
SC47,2023/11/28,16,537
SC47,2023/11/5,2,3515
SC47,2023/11/13,23,4143
SC47,2023/11/16,23,3446
SC47,2023/11/22,5,1579
SC47,2023/11/1,0,4461
SC47,2023/11/2,14,2640
SC47,2023/11/28,2,3110
SC47,2023/11/3,13,1776
SC47,2023/11/29,12,2951
SC47,2023/11/1,9,3214
SC47,2023/11/30,16,542
SC47,2023/11/15,17,1770
SC47,2023/11/3,23,4016
SC47,2023/11/19,11,2132
SC47,2023/11/12,14,3873
SC47,2023/11/17,12,2760
SC47,2023/11/26,19,1779
SC47,2023/11/22,15,1452
SC47,2023/11/3,4,2717
SC47,2023/11/15,10,1121
SC47,2023/11/19,19,1669
SC47,2023/11/11,13,3407
SC47,2023/11/23,6,0
SC47,2023/11/17,21,2345
SC47,2023/11/24,0,2843
SC47,2023/11/8,16,571
SC47,2023/11/25,5,1740
SC47,2023/11/30,2,3259
SC47,2023/11/28,20,2718
SC47,2023/11/25,13,1999
SC47,2023/11/14,15,689
SC47,2023/11/20,5,1075
SC47,2023/11/10,23,4771
SC47,2023/11/21,14,3544
SC47,2023/11/10,4,2114
SC47,2023/11/18,11,1874
SC47,2023/11/30,6,0
SC47,2023/11/8,5,1386
SC47,2023/11/24,10,1074
SC47,2023/11/2,23,4535
SC47,2023/11/12,15,863
SC47,2023/11/21,23,3184
SC47,2023/11/29,1,3008
SC47,2023/11/17,19,1803
SC47,2023/11/18,10,1130
SC47,2023/11/26,10,1461
SC47,2023/11/9,2,3455
SC47,2023/11/9,20,2127
SC47,2023/11/27,6,0
SC47,2023/11/2,1,4760
SC47,2023/11/13,0,4897
SC47,2023/11/21,13,1656
SC47,2023/11/26,17,666
SC47,2023/11/15,18,1799
SC47,2023/11/18,17,1160
SC47,2023/11/17,11,2576
SC47,2023/11/20,17,754
SC47,2023/11/10,8,0
SC47,2023/11/16,8,0
SC47,2023/11/22,10,1128
SC47,2023/11/27,1,2853
SC47,2023/11/27,5,1127
SC47,2023/11/12,1,5141
SC47,2023/11/21,19,2448
SC47,2023/11/3,1,4335
SC47,2023/11/10,19,1413
SC47,2023/11/9,16,603
SC47,2023/11/21,12,2753
SC47,2023/11/21,21,2346
SC47,2023/11/22,23,3139
SC47,2023/11/19,0,3058
SC47,2023/11/29,21,2625
SC47,2023/11/11,23,6192
SC47,2023/11/8,1,3648
SC47,2023/11/2,0,4488
SC47,2023/11/21,11,2088
SC47,2023/11/27,13,1881
SC47,2023/11/21,9,518
SC47,2023/11/5,22,3019
SC47,2023/11/12,2,4615
SC47,2023/11/26,8,0
SC47,2023/11/10,17,593
SC47,2023/11/16,10,1061
SC47,2023/11/16,17,1144
SC47,2023/11/10,10,1325
SC47,2023/11/11,6,2663
SC47,2023/11/1,4,4658
SC47,2023/11/19,15,1268
SC47,2023/11/29,16,504
SC47,2023/11/19,5,1699
SC47,2023/11/7,9,727
SC47,2023/11/3,6,376
SC47,2023/11/12,20,4089
SC47,2023/11/6,11,2447
SC47,2023/11/23,9,350
SC47,2023/11/1,13,4135
SC47,2023/11/24,23,3097
SC47,2023/11/25,6,0
SC47,2023/11/21,1,3410
SC47,2023/11/29,0,2610
SC47,2023/11/24,13,2060
SC47,2023/11/17,9,551
SC47,2023/11/18,8,0
SC47,2023/11/17,0,3239
SC47,2023/11/1,23,4770
SC47,2023/11/2,16,1710
SC47,2023/11/13,14,2300
SC47,2023/11/6,19,1152
SC47,2023/11/8,2,3531
SC47,2023/11/24,4,2264
SC47,2023/11/5,7,0
SC47,2023/11/20,10,1068
SC47,2023/11/8,20,2743
SC47,2023/11/27,15,1418
SC47,2023/11/30,19,1438
SC47,2023/11/19,7,0
SC47,2023/11/4,11,1976
SC47,2023/11/24,18,1077
SC47,2023/11/15,20,2402
SC47,2023/11/28,11,1785
SC47,2023/11/28,19,1885
SC47,2023/11/25,8,0
SC47,2023/11/15,2,3417
SC47,2023/11/11,8,4048
SC47,2023/11/12,9,2680
SC47,2023/11/4,19,1686
SC47,2023/11/1,18,3727
SC47,2023/11/3,8,714
SC47,2023/11/19,22,2933
SC47,2023/11/8,9,740
SC47,2023/11/30,11,2146
SC38,2023/11/30,7,139
SC38,2023/11/4,22,267
SC38,2023/11/1,21,507
SC38,2023/11/1,12,288
SC38,2023/11/26,11,138
SC38,2023/11/24,0,277
SC38,2023/11/16,0,373
SC38,2023/11/7,17,285
SC38,2023/11/21,0,370
SC38,2023/11/1,11,643
SC38,2023/11/6,21,327
SC38,2023/11/24,14,160
SC38,2023/11/16,1,2
SC38,2023/11/6,12,242
SC38,2023/11/26,0,307
SC38,2023/11/12,7,189
SC38,2023/11/3,20,303
SC38,2023/11/27,7,129
SC38,2023/11/9,8,275
SC38,2023/11/11,12,575
SC38,2023/11/24,12,117
SC38,2023/11/11,16,508
SC38,2023/11/6,16,301
SC38,2023/11/8,17,280
SC38,2023/11/24,20,182
SC38,2023/11/1,2,758
SC38,2023/11/30,22,367
SC38,2023/11/4,7,131
SC38,2023/11/8,22,340
SC38,2023/11/30,8,219
SC38,2023/11/8,7,213
SC38,2023/11/4,8,281
SC38,2023/11/29,18,143
SC38,2023/11/10,1,134
SC38,2023/11/12,22,260
SC38,2023/11/28,8,133
SC38,2023/11/2,18,338
SC38,2023/11/23,22,368
SC38,2023/11/8,15,276
SC38,2023/11/24,10,264
SC38,2023/11/2,23,286
SC38,2023/11/3,2,20
SC38,2023/11/19,16,144
SC38,2023/11/13,11,160
SC38,2023/11/6,8,265
SC38,2023/11/15,15,223
SC38,2023/11/24,17,208
SC38,2023/11/12,15,481
SC38,2023/11/9,21,307
SC38,2023/11/28,0,433
SC38,2023/11/14,15,226
SC38,2023/11/21,14,221
SC38,2023/11/10,13,157
SC38,2023/11/10,7,156
SC38,2023/11/22,8,145
SC38,2023/11/10,22,940
SC38,2023/11/17,12,235
SC38,2023/11/16,13,144
SC38,2023/11/30,0,284
SC38,2023/11/9,12,124
SC38,2023/11/27,11,177
SC38,2023/11/16,7,104
SC38,2023/11/4,0,204
SC38,2023/11/13,12,129
SC38,2023/11/24,1,72
SC38,2023/11/20,8,202
SC38,2023/11/26,23,166
SC38,2023/11/18,13,91
SC38,2023/11/16,15,196
SC38,2023/11/10,14,277
SC38,2023/11/27,22,236
SC38,2023/11/8,11,363
SC38,2023/11/12,19,368
SC38,2023/11/19,8,219
SC38,2023/11/1,22,694
SC38,2023/11/7,20,274
SC38,2023/11/15,1,3
SC38,2023/11/23,10,270
SC38,2023/11/23,20,155
SC38,2023/11/13,10,165
SC38,2023/11/18,21,277
SC38,2023/11/26,12,180
SC38,2023/11/26,21,221
SC38,2023/11/8,18,237
SC38,2023/11/16,16,223
SC38,2023/11/3,16,310
SC38,2023/11/10,0,360
SC38,2023/11/12,18,253
SC38,2023/11/19,14,145
SC38,2023/11/25,20,160
SC38,2023/11/15,23,156
SC38,2023/11/11,2,663
SC38,2023/11/11,20,495
SC38,2023/11/1,14,520
SC38,2023/11/7,0,245
SC38,2023/11/3,12,113
SC38,2023/11/11,21,677
SC38,2023/11/5,18,191
SC38,2023/11/11,5,486
SC38,2023/11/25,10,268
SC38,2023/11/3,10,321
SC38,2023/11/9,0,315
SC38,2023/11/3,17,334
SC38,2023/11/11,10,525
SC38,2023/11/22,1,65
SC38,2023/11/21,12,91
SC38,2023/11/10,19,202
SC38,2023/11/16,19,233
SC38,2023/11/22,13,74
SC38,2023/11/28,7,104
SC38,2023/11/28,22,328
SC38,2023/11/20,1,131
SC38,2023/11/15,13,98
SC38,2023/11/20,16,168
SC38,2023/11/1,3,663
SC38,2023/11/14,18,150
SC38,2023/11/23,7,63
SC38,2023/11/29,19,152
SC38,2023/11/8,23,290
SC38,2023/11/28,15,203
SC38,2023/11/19,11,231
SC38,2023/11/19,19,167
SC38,2023/11/11,13,473
SC38,2023/11/26,15,213
SC38,2023/11/7,7,137
SC38,2023/11/20,18,171
SC38,2023/11/2,4,198
SC38,2023/11/22,18,157
SC38,2023/11/12,5,7
SC38,2023/11/13,19,160
SC38,2023/11/20,15,244
SC38,2023/11/16,23,211
SC38,2023/11/19,1,86
SC38,2023/11/18,19,256
SC38,2023/11/6,9,230
SC38,2023/11/29,14,197
SC38,2023/11/2,14,537
SC38,2023/11/1,19,554
SC38,2023/11/25,12,226
SC38,2023/11/25,15,154
SC38,2023/11/8,16,305
SC38,2023/11/9,10,305
SC38,2023/11/24,19,217
SC38,2023/11/18,23,150
SC38,2023/11/1,1,1121
SC38,2023/11/12,16,358
SC38,2023/11/28,20,231
SC38,2023/11/11,15,613
SC38,2023/11/7,19,348
SC38,2023/11/27,12,263
SC38,2023/11/27,21,254
SC38,2023/11/23,19,235
SC38,2023/11/24,15,215
SC38,2023/11/13,16,297
SC38,2023/11/6,1,268
SC38,2023/11/18,15,182
SC38,2023/11/3,21,327
SC38,2023/11/9,17,226
SC38,2023/11/14,20,173
SC38,2023/11/5,20,270
SC38,2023/11/25,16,195
SC38,2023/11/12,2,492
SC38,2023/11/11,6,371
SC38,2023/11/1,23,478
SC38,2023/11/5,7,196
SC38,2023/11/17,0,318
SC38,2023/11/24,13,112
SC38,2023/11/12,20,344
SC38,2023/11/19,15,202
SC38,2023/11/22,16,210
SC38,2023/11/18,12,160
SC38,2023/11/6,7,190
SC38,2023/11/2,19,337
SC38,2023/11/19,17,130
SC38,2023/11/1,10,578
SC38,2023/11/7,22,425
SC38,2023/11/24,23,252
SC38,2023/11/13,14,207
SC38,2023/11/29,13,106
SC38,2023/11/17,16,196
SC38,2023/11/21,20,225
SC38,2023/11/15,9,182
SC38,2023/11/25,21,135
SC38,2023/11/18,0,267
SC38,2023/11/13,0,78
SC38,2023/11/4,9,274
SC38,2023/11/23,0,319
SC38,2023/11/17,19,214
SC38,2023/11/4,16,256
SC38,2023/11/28,16,143
SC38,2023/11/2,21,308
SC38,2023/11/15,10,234
SC38,2023/11/11,23,635
SC38,2023/11/5,16,253
SC38,2023/11/2,13,297
SC38,2023/11/1,17,457
SC38,2023/11/25,1,56
SC38,2023/11/26,9,229
SC38,2023/11/27,16,184
SC38,2023/11/11,1,1241
SC38,2023/11/25,13,67
SC38,2023/11/29,21,177
SC38,2023/11/2,12,225
SC38,2023/11/23,15,178
SC38,2023/11/16,11,179
SC38,2023/11/22,23,161
SC38,2023/11/14,23,171
SC38,2023/11/21,21,231
SC38,2023/11/14,13,141
SC38,2023/11/9,18,197
SC38,2023/11/3,1,369
SC38,2023/11/20,23,198
SC38,2023/11/20,13,100
SC38,2023/11/10,11,248
SC38,2023/11/19,0,336
SC38,2023/11/18,9,237
SC38,2023/11/29,23,248
SC38,2023/11/14,1,35
SC38,2023/11/24,21,167
SC38,2023/11/13,15,248
SC38,2023/11/18,18,124
SC38,2023/11/16,22,210
SC38,2023/11/7,9,331
SC38,2023/11/6,19,323
SC38,2023/11/27,19,222
SC38,2023/11/23,17,162
SC38,2023/11/2,6,0
SC38,2023/11/25,18,134
SC38,2023/11/7,10,325
SC38,2023/11/14,8,158
SC38,2023/11/5,1,234
SC38,2023/11/9,15,286
SC38,2023/11/2,5,7
SC38,2023/11/14,7,166
SC38,2023/11/6,10,308
SC38,2023/11/29,15,165
SC38,2023/11/13,23,335
SC38,2023/11/2,16,256
SC38,2023/11/26,18,137
SC38,2023/11/7,8,257
SC38,2023/11/10,18,362
SC38,2023/11/22,22,382
SC38,2023/11/27,9,208
SC38,2023/11/22,7,146
SC38,2023/11/1,4,779
SC38,2023/11/4,18,195
SC38,2023/11/17,15,230
SC38,2023/11/11,4,596
SC38,2023/11/6,23,323
SC38,2023/11/29,20,229
SC38,2023/11/1,15,573
SC38,2023/11/2,20,315
SC38,2023/11/23,11,161
SC38,2023/11/14,9,221
SC38,2023/11/7,11,301
SC38,2023/11/2,2,323
SC38,2023/11/21,18,125
SC38,2023/11/15,18,172
SC38,2023/11/20,9,220
SC38,2023/11/17,1,12
SC38,2023/11/23,21,215
SC38,2023/11/28,17,234
SC38,2023/11/2,3,181
SC38,2023/11/22,15,178
SC38,2023/11/22,9,255
SC38,2023/11/17,8,166
SC38,2023/11/25,7,111
SC38,2023/11/23,9,198
SC38,2023/11/18,16,156
SC38,2023/11/27,1,111
SC38,2023/11/24,9,195
SC38,2023/11/1,9,565
SC38,2023/11/6,15,246
SC38,2023/11/12,3,277
SC38,2023/11/6,11,355
SC38,2023/11/21,1,7
SC38,2023/11/5,22,374
SC38,2023/11/20,11,199
SC38,2023/11/27,17,236
SC38,2023/11/25,23,204
SC38,2023/11/3,13,296
SC38,2023/11/29,12,228
SC38,2023/11/30,16,181
SC38,2023/11/12,14,347
SC38,2023/11/20,19,314
SC38,2023/11/7,21,307
SC38,2023/11/12,8,367
SC38,2023/11/18,1,46
SC38,2023/11/4,10,270
SC38,2023/11/1,16,430
SC38,2023/11/9,20,429
SC38,2023/11/11,14,628
SC38,2023/11/3,15,417
SC38,2023/11/29,16,186
SC38,2023/11/1,13,500
SC38,2023/11/5,8,297
SC38,2023/11/1,5,700
SC38,2023/11/21,17,147
SC38,2023/11/30,20,205
SC38,2023/11/24,11,286
SC38,2023/11/15,17,137
SC38,2023/11/7,15,306
SC38,2023/11/6,6,0
SC38,2023/11/12,13,343
SC38,2023/11/13,9,227
SC38,2023/11/11,0,609
SC38,2023/11/8,8,222
SC38,2023/11/30,12,209
SC38,2023/11/20,0,336
SC38,2023/11/25,0,295
SC38,2023/11/7,23,306
SC38,2023/11/10,9,264
SC38,2023/11/23,8,256
SC38,2023/11/23,12,205
SC38,2023/11/6,17,224
SC38,2023/11/27,0,319
SC38,2023/11/30,14,149
SC38,2023/11/8,12,156
SC38,2023/11/12,12,285
SC38,2023/11/5,15,228
SC38,2023/11/16,17,122
SC38,2023/11/26,19,204
SC38,2023/11/10,23,826
SC38,2023/11/29,7,97
SC38,2023/11/30,17,196
SC38,2023/11/13,18,243
SC38,2023/11/19,23,157
SC38,2023/11/4,20,251
SC38,2023/11/18,11,171
SC38,2023/11/21,10,280
SC38,2023/11/11,18,450
SC38,2023/11/27,8,180
SC38,2023/11/20,20,197
SC38,2023/11/18,14,228
SC38,2023/11/9,9,259
SC38,2023/11/17,17,101
SC38,2023/11/15,16,204
SC38,2023/11/3,23,311
SC38,2023/11/8,14,322
SC38,2023/11/5,10,278
SC38,2023/11/10,15,262
SC38,2023/11/10,16,262
SC38,2023/11/26,14,180
SC38,2023/11/22,20,190
SC38,2023/11/26,13,78
SC38,2023/11/13,17,187
SC38,2023/11/21,16,166
SC38,2023/11/6,22,404
SC38,2023/11/29,11,182
SC38,2023/11/8,13,145
SC38,2023/11/9,1,250
SC38,2023/11/30,15,219
SC38,2023/11/1,8,367
SC38,2023/11/2,11,334
SC38,2023/11/12,4,241
SC38,2023/11/19,10,227
SC38,2023/11/14,16,219
SC38,2023/11/16,14,214
SC38,2023/11/7,18,217
SC38,2023/11/24,8,194
SC38,2023/11/16,9,228
SC38,2023/11/22,11,277
SC38,2023/11/18,20,147
SC38,2023/11/17,20,161
SC38,2023/11/19,21,192
SC38,2023/11/12,1,607
SC38,2023/11/14,11,132
SC38,2023/11/3,0,379
SC38,2023/11/23,23,158
SC38,2023/11/13,20,138
SC38,2023/11/27,15,207
SC38,2023/11/29,0,372
SC38,2023/11/21,11,306
SC38,2023/11/16,10,213
SC38,2023/11/6,13,109
SC38,2023/11/24,16,101
SC38,2023/11/29,8,176
SC38,2023/11/28,10,232
SC38,2023/11/6,0,191
SC38,2023/11/22,12,135
SC38,2023/11/14,21,258
SC38,2023/11/20,12,211
SC38,2023/11/2,8,345
SC38,2023/11/23,14,153
SC38,2023/11/5,11,303
SC38,2023/11/1,20,491
SC38,2023/11/7,14,211
SC38,2023/11/14,12,95
SC38,2023/11/12,17,93
SC38,2023/11/13,7,85
SC38,2023/11/13,22,315
SC38,2023/11/28,12,211
SC38,2023/11/15,22,193
SC38,2023/11/4,21,473
SC38,2023/11/22,21,253
SC38,2023/11/25,9,127
SC38,2023/11/13,1,483
SC38,2023/11/22,0,238
SC38,2023/11/21,22,355
SC38,2023/11/8,10,269
SC38,2023/11/12,10,444
SC38,2023/11/17,21,190
SC38,2023/11/25,19,247
SC38,2023/11/28,14,225
SC38,2023/11/21,23,205
SC38,2023/11/18,10,198
SC38,2023/11/3,18,268
SC38,2023/11/15,14,190
SC38,2023/11/30,9,169
SC38,2023/11/19,13,141
SC38,2023/11/13,21,319
SC38,2023/11/17,7,86
SC38,2023/11/15,21,189
SC38,2023/11/15,12,107
SC38,2023/11/5,9,255
SC38,2023/11/2,22,501
SC38,2023/11/26,1,47
SC38,2023/11/2,7,221
SC38,2023/11/10,17,208
SC38,2023/11/18,8,198
SC38,2023/11/27,20,225
SC38,2023/11/9,7,110
SC38,2023/11/1,0,622
SC38,2023/11/10,10,271
SC38,2023/11/3,19,188
SC38,2023/11/11,19,675
SC38,2023/11/17,9,172
SC38,2023/11/2,0,284
SC38,2023/11/9,16,268
SC38,2023/11/28,18,152
SC38,2023/11/23,1,49
SC38,2023/11/5,19,203
SC38,2023/11/29,22,421
SC38,2023/11/9,22,269
SC38,2023/11/19,20,218
SC38,2023/11/8,20,297
SC38,2023/11/17,22,322
SC38,2023/11/26,20,109
SC38,2023/11/21,13,131
SC38,2023/11/26,10,218
SC38,2023/11/2,1,385
SC38,2023/11/20,21,193
SC38,2023/11/11,3,698
SC38,2023/11/8,21,509
SC38,2023/11/15,8,229
SC38,2023/11/30,18,186
SC38,2023/11/19,12,80
SC38,2023/11/15,11,239
SC38,2023/11/8,1,330
SC38,2023/11/17,11,128
SC38,2023/11/26,17,146
SC38,2023/11/25,14,219
SC38,2023/11/14,0,219
SC38,2023/11/27,10,197
SC38,2023/11/17,18,183
SC38,2023/11/21,7,80
SC38,2023/11/11,22,703
SC38,2023/11/7,13,166
SC38,2023/11/23,13,92
SC38,2023/11/3,14,355
SC38,2023/11/15,19,191
SC38,2023/11/29,1,44
SC38,2023/11/17,23,190
SC38,2023/11/18,17,161
SC38,2023/11/17,13,114
SC38,2023/11/15,7,100
SC38,2023/11/4,12,273
SC38,2023/11/3,11,158
SC38,2023/11/19,9,215
SC38,2023/11/28,9,261
SC38,2023/11/25,22,371
SC38,2023/11/23,18,165
SC38,2023/11/5,14,360
SC38,2023/11/12,23,310
SC38,2023/11/4,15,257
SC38,2023/11/7,1,321
SC38,2023/11/27,14,196
SC38,2023/11/1,6,426
SC38,2023/11/17,14,174
SC38,2023/11/10,20,638
SC38,2023/11/16,20,200
SC38,2023/11/9,11,298
SC38,2023/11/21,19,214
SC38,2023/11/26,8,207
SC38,2023/11/11,11,469
SC38,2023/11/12,11,395
SC38,2023/11/12,21,288
SC38,2023/11/4,14,380
SC38,2023/11/21,8,266
SC38,2023/11/14,19,205
SC38,2023/11/5,17,187
SC38,2023/11/29,9,250
SC38,2023/11/30,13,110
SC38,2023/11/25,11,165
SC38,2023/11/11,7,414
SC38,2023/11/24,22,274
SC38,2023/11/3,22,474
SC38,2023/11/28,23,196
SC38,2023/11/25,17,200
SC38,2023/11/2,9,385
SC38,2023/11/11,17,461
SC38,2023/11/4,13,156
SC38,2023/11/5,21,415
SC38,2023/11/30,23,172
SC38,2023/11/8,19,373
SC38,2023/11/4,17,225
SC38,2023/11/1,7,433
SC38,2023/11/5,12,179
SC38,2023/11/28,13,65
SC38,2023/11/4,23,451
SC38,2023/11/6,14,275
SC38,2023/11/26,16,185
SC38,2023/11/9,19,201
SC38,2023/11/6,18,152
SC38,2023/11/9,23,227
SC38,2023/11/7,12,234
SC38,2023/11/30,10,251
SC38,2023/11/5,0,255
SC38,2023/11/9,13,138
SC38,2023/11/14,22,317
SC38,2023/11/20,7,50
SC38,2023/11/16,18,162
SC38,2023/11/20,22,313
SC38,2023/11/3,7,195
SC38,2023/11/19,18,144
SC38,2023/11/22,19,150
SC38,2023/11/2,15,375
SC38,2023/11/13,13,238
SC38,2023/11/24,7,108
SC38,2023/11/28,21,274
SC38,2023/11/4,19,258
SC38,2023/11/21,15,193
SC38,2023/11/30,21,315
SC38,2023/11/11,9,449
SC38,2023/11/3,9,217
SC38,2023/11/30,19,254
SC38,2023/11/4,11,278
SC38,2023/11/24,18,144
SC38,2023/11/15,20,313
SC38,2023/11/28,19,154
SC38,2023/11/30,11,185
SC38,2023/11/19,22,365
SC38,2023/11/25,8,223
SC38,2023/11/3,8,314
SC38,2023/11/1,18,453
SC38,2023/11/20,17,130
SC38,2023/11/8,0,184
SC38,2023/11/22,10,234
SC38,2023/11/11,8,385
SC38,2023/11/19,7,60
SC38,2023/11/8,9,276
SC38,2023/11/12,9,427
SC38,2023/11/28,11,235
SC38,2023/11/21,9,259
SC38,2023/11/12,0,326
SC38,2023/11/26,7,95
SC38,2023/11/10,8,239
SC38,2023/11/16,8,197
SC38,2023/11/30,1,75
SC38,2023/11/18,22,252
SC38,2023/11/9,14,276
SC38,2023/11/27,23,158
SC38,2023/11/27,13,92
SC38,2023/11/20,10,220
SC38,2023/11/18,7,73
SC38,2023/11/14,10,148
SC38,2023/11/4,1,504
SC38,2023/11/14,17,188
SC38,2023/11/22,17,200
SC38,2023/11/28,1,51
SC38,2023/11/17,10,208
SC38,2023/11/13,6,5
SC38,2023/11/26,22,401
SC38,2023/11/10,21,958
SC38,2023/11/6,20,397
SC38,2023/11/15,0,226
SC38,2023/11/16,12,153
SC38,2023/11/2,10,377
SC38,2023/11/5,13,182
SC38,2023/11/29,17,259
SC38,2023/11/22,14,164
SC38,2023/11/2,17,183
SC38,2023/11/10,12,167
SC38,2023/11/13,8,169
SC38,2023/11/14,14,187
SC38,2023/11/20,14,178
SC38,2023/11/5,23,320
SC38,2023/11/23,16,252
SC38,2023/11/7,16,336
SC38,2023/11/27,18,203
SC38,2023/11/29,10,249
SC38,2023/11/16,21,206
SC15,2023/11/10,2,103
SC15,2023/11/18,10,0
SC15,2023/11/14,18,521
SC15,2023/11/19,1,438
SC15,2023/11/1,0,358
SC15,2023/11/27,10,0
SC15,2023/11/27,17,542
SC15,2023/11/21,22,114
SC15,2023/11/16,20,35
SC15,2023/11/25,11,274
SC15,2023/11/27,0,387
SC15,2023/11/12,12,679
SC15,2023/11/4,14,132
SC15,2023/11/2,16,306
SC15,2023/11/29,16,195
