分拣中心,日期,货量
SC32,2023/8/18,2829
SC24,2023/8/18,6821
SC4,2023/8/18,18019
SC28,2023/8/18,687
SC41,2023/8/18,1916
SC17,2023/8/18,16991
SC40,2023/8/18,2989
SC7,2023/8/18,35984
SC60,2023/8/18,52673
SC10,2023/8/18,23710
SC35,2023/8/18,26195
SC3,2023/8/18,9925
SC30,2023/8/18,4684
SC55,2023/8/18,3709
SC6,2023/8/18,24909
SC22,2023/8/18,5909
SC56,2023/8/18,2209
SC25,2023/8/18,37118
SC48,2023/8/19,692
SC61,2023/8/19,858
SC63,2023/8/19,2053
SC54,2023/8/19,8562
SC68,2023/8/19,1134
SC44,2023/8/19,15522
SC15,2023/8/19,4460
SC66,2023/8/19,947
SC9,2023/8/19,24661
SC53,2023/8/19,28747
SC38,2023/8/19,3582
SC20,2023/8/19,33
SC39,2023/8/19,2403
SC47,2023/8/19,43450
SC8,2023/8/19,36712
SC43,2023/8/19,3565
SC52,2023/8/19,3387
SC31,2023/8/19,9054
SC21,2023/8/19,1896
SC49,2023/8/19,6106
SC37,2023/8/19,494
SC29,2023/8/19,5506
SC5,2023/8/19,19138
SC23,2023/8/19,1869
SC16,2023/8/19,1989
SC36,2023/8/19,520
SC57,2023/8/19,12768
SC2,2023/8/19,7224
SC12,2023/8/19,3882
SC18,2023/8/19,6837
SC19,2023/8/19,8219
SC58,2023/8/19,610
SC27,2023/8/19,3827
SC1,2023/8/19,37610
SC46,2023/8/19,2396
SC34,2023/8/19,8104
SC14,2023/8/19,1368
SC51,2023/8/19,9962
SC26,2023/8/19,4743
SC32,2023/8/19,2733
SC24,2023/8/19,6929
SC4,2023/8/19,18795
SC28,2023/8/19,757
SC41,2023/8/19,1834
SC17,2023/8/19,18150
SC40,2023/8/19,2893
SC7,2023/8/19,35327
SC60,2023/8/19,52704
SC10,2023/8/19,24223
SC35,2023/8/19,27769
SC3,2023/8/19,10501
SC30,2023/8/19,3739
SC55,2023/8/19,3690
SC6,2023/8/19,24634
SC22,2023/8/19,6238
SC56,2023/8/19,1803
SC25,2023/8/19,35774
SC48,2023/8/20,648
SC61,2023/8/20,843
SC63,2023/8/20,2287
SC54,2023/8/20,8465
SC68,2023/8/20,1161
SC44,2023/8/20,15716
SC15,2023/8/20,3705
SC66,2023/8/20,953
SC9,2023/8/20,24379
SC53,2023/8/20,27537
SC38,2023/8/20,3360
SC20,2023/8/20,39
SC39,2023/8/20,2330
SC47,2023/8/20,40744
SC8,2023/8/20,33934
SC43,2023/8/20,3531
SC52,2023/8/20,2461
SC31,2023/8/20,9161
SC21,2023/8/20,1510
SC49,2023/8/20,5977
SC37,2023/8/20,618
SC29,2023/8/20,5240
SC5,2023/8/20,17963
SC23,2023/8/20,1881
SC16,2023/8/20,1611
SC36,2023/8/20,461
SC57,2023/8/20,12313
SC2,2023/8/20,7084
SC12,2023/8/20,3817
SC18,2023/8/20,7169
SC19,2023/8/20,6655
SC58,2023/8/20,598
SC27,2023/8/20,3711
SC1,2023/8/20,34386
SC46,2023/8/20,1926
SC34,2023/8/20,7667
SC14,2023/8/20,1359
SC51,2023/8/20,9505
SC26,2023/8/20,4844
SC32,2023/8/20,2306
SC24,2023/8/20,7203
SC4,2023/8/20,18603
SC28,2023/8/20,778
SC41,2023/8/20,1856
SC17,2023/8/20,18107
SC40,2023/8/20,2617
SC7,2023/8/20,34776
SC60,2023/8/20,51229
SC10,2023/8/20,21915
SC35,2023/8/20,25768
SC3,2023/8/20,9641
SC30,2023/8/20,3043
SC55,2023/8/20,3744
SC6,2023/8/20,23193
SC22,2023/8/20,6639
SC56,2023/8/20,1452
SC25,2023/8/20,32471
SC48,2023/8/21,714
SC61,2023/8/21,860
SC63,2023/8/21,2385
SC54,2023/8/21,9198
SC68,2023/8/21,1225
SC44,2023/8/21,16726
SC15,2023/8/21,3925
SC66,2023/8/21,1238
SC9,2023/8/21,23873
SC53,2023/8/21,27121
SC38,2023/8/21,3690
SC20,2023/8/21,136
SC39,2023/8/21,2487
SC47,2023/8/21,42029
SC8,2023/8/21,35774
SC43,2023/8/21,4183
SC52,2023/8/21,2576
SC31,2023/8/21,10181
SC21,2023/8/21,1481
SC49,2023/8/21,6473
SC37,2023/8/21,601
SC29,2023/8/21,5948
SC5,2023/8/21,18664
SC23,2023/8/21,2133
SC16,2023/8/21,1592
SC36,2023/8/21,660
SC57,2023/8/21,12545
SC2,2023/8/21,8173
SC12,2023/8/21,4148
SC18,2023/8/21,9070
SC19,2023/8/21,10430
SC58,2023/8/21,740
SC27,2023/8/21,4019
SC1,2023/8/21,35922
SC46,2023/8/21,1875
SC34,2023/8/21,8146
SC14,2023/8/21,1393
SC51,2023/8/21,9499
SC26,2023/8/21,5282
SC32,2023/8/21,3114
SC24,2023/8/21,7923
SC4,2023/8/21,19812
SC28,2023/8/21,816
SC41,2023/8/21,2025
SC17,2023/8/21,17849
SC40,2023/8/21,2899
SC7,2023/8/21,34600
SC60,2023/8/21,50589
SC10,2023/8/21,21599
SC35,2023/8/21,24872
SC3,2023/8/21,9481
SC30,2023/8/21,3188
SC55,2023/8/21,3951
SC6,2023/8/21,24321
SC22,2023/8/21,7251
SC56,2023/8/21,1889
SC25,2023/8/21,34122
SC48,2023/8/22,693
SC61,2023/8/22,903
SC63,2023/8/22,2647
SC54,2023/8/22,8974
SC68,2023/8/22,1131
SC44,2023/8/22,16686
SC15,2023/8/22,4264
SC66,2023/8/22,1121
SC9,2023/8/22,24929
SC53,2023/8/22,29856
SC38,2023/8/22,3544
SC20,2023/8/22,93
SC39,2023/8/22,2279
SC47,2023/8/22,44845
SC8,2023/8/22,39607
SC43,2023/8/22,3709
SC52,2023/8/22,2981
SC31,2023/8/22,9334
SC21,2023/8/22,1578
SC49,2023/8/22,6195
SC37,2023/8/22,562
SC29,2023/8/22,5622
SC5,2023/8/22,18567
SC23,2023/8/22,1552
SC16,2023/8/22,1673
SC36,2023/8/22,610
SC57,2023/8/22,12974
SC2,2023/8/22,7743
SC12,2023/8/22,3986
SC18,2023/8/22,7243
SC19,2023/8/22,9189
SC58,2023/8/22,820
SC27,2023/8/22,3749
SC1,2023/8/22,36408
SC46,2023/8/22,2025
SC34,2023/8/22,7877
SC14,2023/8/22,1517
SC51,2023/8/22,10184
SC26,2023/8/22,4969
SC32,2023/8/22,3232
SC24,2023/8/22,6814
SC4,2023/8/22,19489
SC28,2023/8/22,747
SC41,2023/8/22,2257
SC17,2023/8/22,17966
SC40,2023/8/22,2683
SC7,2023/8/22,36594
SC60,2023/8/22,51152
SC10,2023/8/22,22825
SC35,2023/8/22,25416
SC3,2023/8/22,9855
SC30,2023/8/22,3244
SC55,2023/8/22,3700
SC6,2023/8/22,24365
SC22,2023/8/22,6354
SC56,2023/8/22,1431
SC25,2023/8/22,36146
SC48,2023/8/23,704
SC61,2023/8/23,822
SC63,2023/8/23,2346
SC54,2023/8/23,9413
SC68,2023/8/23,1176
SC44,2023/8/23,15389
SC15,2023/8/23,4595
SC66,2023/8/23,900
SC9,2023/8/23,24792
SC53,2023/8/23,30377
SC38,2023/8/23,3733
SC20,2023/8/23,56
SC39,2023/8/23,2554
SC47,2023/8/23,43998
SC8,2023/8/23,36804
SC43,2023/8/23,3381
SC52,2023/8/23,2814
SC31,2023/8/23,9861
SC21,2023/8/23,1606
SC49,2023/8/23,6534
SC37,2023/8/23,573
SC29,2023/8/23,5829
SC5,2023/8/23,19045
SC23,2023/8/23,1469
SC16,2023/8/23,1659
SC36,2023/8/23,801
SC57,2023/8/23,13001
SC2,2023/8/23,7853
SC12,2023/8/23,3985
SC18,2023/8/23,6498
SC19,2023/8/23,8312
SC58,2023/8/23,672
SC27,2023/8/23,4070
SC1,2023/8/23,36657
SC46,2023/8/23,3163
SC34,2023/8/23,8315
SC14,2023/8/23,1450
SC51,2023/8/23,9997
SC26,2023/8/23,3895
SC32,2023/8/23,2988
SC24,2023/8/23,6091
SC4,2023/8/23,19254
SC28,2023/8/23,782
SC41,2023/8/23,2133
SC17,2023/8/23,18277
SC40,2023/8/23,2904
SC7,2023/8/23,35092
SC60,2023/8/23,54496
SC10,2023/8/23,22108
SC35,2023/8/23,25983
SC3,2023/8/23,9911
SC30,2023/8/23,3011
SC55,2023/8/23,3548
SC6,2023/8/23,25156
SC22,2023/8/23,6460
SC56,2023/8/23,1458
SC25,2023/8/23,37274
SC48,2023/8/24,715
SC61,2023/8/24,783
SC63,2023/8/24,3032
SC54,2023/8/24,9943
SC68,2023/8/24,1241
SC44,2023/8/24,15756
SC15,2023/8/24,4501
SC66,2023/8/24,869
SC9,2023/8/24,25156
SC53,2023/8/24,30512
SC38,2023/8/24,3806
SC20,2023/8/24,88
SC39,2023/8/24,2686
SC47,2023/8/24,43959
SC8,2023/8/24,37737
SC43,2023/8/24,3263
SC52,2023/8/24,3830
SC31,2023/8/24,9683
SC21,2023/8/24,2055
SC49,2023/8/24,6276
SC37,2023/8/24,536
SC29,2023/8/24,6601
SC5,2023/8/24,19286
SC23,2023/8/24,1541
SC16,2023/8/24,2050
SC36,2023/8/24,601
SC57,2023/8/24,13304
SC2,2023/8/24,7506
SC12,2023/8/24,4076
SC18,2023/8/24,5422
SC19,2023/8/24,7692
SC58,2023/8/24,683
SC27,2023/8/24,4464
SC1,2023/8/24,37910
SC46,2023/8/24,2881
SC34,2023/8/24,8972
SC14,2023/8/24,1469
SC51,2023/8/24,10128
SC26,2023/8/24,3734
SC32,2023/8/24,3712
SC24,2023/8/24,5893
SC4,2023/8/24,20569
SC28,2023/8/24,817
SC41,2023/8/24,108
SC17,2023/8/24,18204
SC40,2023/8/24,3118
SC7,2023/8/24,35483
SC60,2023/8/24,50248
SC10,2023/8/24,22048
SC35,2023/8/24,25790
SC3,2023/8/24,10296
SC30,2023/8/24,3673
SC55,2023/8/24,3578
SC6,2023/8/24,25775
SC22,2023/8/24,6685
SC56,2023/8/24,1532
SC25,2023/8/24,37827
SC48,2023/8/25,787
SC61,2023/8/25,849
SC63,2023/8/25,2889
SC54,2023/8/25,9960
SC68,2023/8/25,1213
SC44,2023/8/25,15213
SC15,2023/8/25,4467
SC66,2023/8/25,864
SC9,2023/8/25,25128
SC53,2023/8/25,33303
SC38,2023/8/25,3810
SC20,2023/8/25,115
SC39,2023/8/25,2586
SC47,2023/8/25,44683
SC8,2023/8/25,39582
SC43,2023/8/25,3382
SC52,2023/8/25,4883
SC31,2023/8/25,10288
SC21,2023/8/25,2680
SC49,2023/8/25,6434
SC37,2023/8/25,1552
SC29,2023/8/25,5957
SC5,2023/8/25,19789
SC23,2023/8/25,1469
SC16,2023/8/25,2623
SC36,2023/8/25,759
SC57,2023/8/25,13262
SC2,2023/8/25,7531
SC12,2023/8/25,4487
SC18,2023/8/25,5713
SC19,2023/8/25,6677
SC58,2023/8/25,634
SC27,2023/8/25,4441
SC1,2023/8/25,39080
SC46,2023/8/25,4662
SC34,2023/8/25,9315
SC14,2023/8/25,1477
SC51,2023/8/25,10574
SC26,2023/8/25,3885
SC32,2023/8/25,4040
SC24,2023/8/25,5763
SC4,2023/8/25,18862
SC28,2023/8/25,832
SC41,2023/8/25,4418
SC17,2023/8/25,18619
SC40,2023/8/25,3110
SC7,2023/8/25,36283
SC60,2023/8/25,54195
SC10,2023/8/25,23200
SC35,2023/8/25,27029
SC3,2023/8/25,10297
SC30,2023/8/25,5104
SC55,2023/8/25,3608
SC6,2023/8/25,24512
SC22,2023/8/25,6084
SC56,2023/8/25,1662
SC25,2023/8/25,38254
SC48,2023/8/26,716
SC61,2023/8/26,839
SC63,2023/8/26,3376
SC54,2023/8/26,9258
SC68,2023/8/26,1154
SC44,2023/8/26,15095
SC15,2023/8/26,4231
SC66,2023/8/26,874
SC9,2023/8/26,24891
SC53,2023/8/26,35313
SC38,2023/8/26,3633
SC20,2023/8/26,152
SC39,2023/8/26,2533
SC47,2023/8/26,44185
SC8,2023/8/26,38881
SC43,2023/8/26,3233
SC52,2023/8/26,3887
SC31,2023/8/26,9031
SC21,2023/8/26,2039
SC49,2023/8/26,6183
SC37,2023/8/26,779
SC29,2023/8/26,5709
SC5,2023/8/26,19225
SC23,2023/8/26,1406
SC16,2023/8/26,2219
SC36,2023/8/26,561
SC57,2023/8/26,13273
SC2,2023/8/26,6866
SC12,2023/8/26,4436
SC18,2023/8/26,5614
SC19,2023/8/26,6414
SC58,2023/8/26,637
SC27,2023/8/26,4087
SC1,2023/8/26,37218
SC46,2023/8/26,7229
SC34,2023/8/26,8444
SC14,2023/8/26,1496
SC51,2023/8/26,9998
SC26,2023/8/26,4397
SC32,2023/8/26,2872
SC24,2023/8/26,5603
SC4,2023/8/26,21441
SC28,2023/8/26,913
SC41,2023/8/26,3199
SC17,2023/8/26,18931
SC40,2023/8/26,2822
SC7,2023/8/26,35432
SC60,2023/8/26,52129
SC10,2023/8/26,22670
SC35,2023/8/26,25618
SC3,2023/8/26,10226
SC30,2023/8/26,3898
SC55,2023/8/26,3612
SC6,2023/8/26,24672
SC22,2023/8/26,6450
SC56,2023/8/26,1521
SC25,2023/8/26,37059
SC48,2023/8/27,704
SC61,2023/8/27,893
SC63,2023/8/27,2548
SC54,2023/8/27,9390
SC68,2023/8/27,1197
SC44,2023/8/27,14407
SC15,2023/8/27,4406
SC66,2023/8/27,941
SC9,2023/8/27,25032
SC53,2023/8/27,32240
SC38,2023/8/27,3663
SC20,2023/8/27,38
SC39,2023/8/27,2487
SC47,2023/8/27,41647
SC8,2023/8/27,35902
SC43,2023/8/27,3277
SC52,2023/8/27,2792
SC31,2023/8/27,9856
SC21,2023/8/27,1484
SC49,2023/8/27,5973
SC37,2023/8/27,671
SC29,2023/8/27,5826
SC5,2023/8/27,18764
SC23,2023/8/27,1364
SC16,2023/8/27,1705
SC36,2023/8/27,595
SC57,2023/8/27,12656
SC2,2023/8/27,6711
SC12,2023/8/27,4045
SC18,2023/8/27,5390
SC19,2023/8/27,4929
SC58,2023/8/27,658
SC27,2023/8/27,3808
SC1,2023/8/27,36814
SC46,2023/8/27,8824
SC34,2023/8/27,9423
SC14,2023/8/27,1627
SC51,2023/8/27,9613
SC26,2023/8/27,4589
SC32,2023/8/27,3544
SC24,2023/8/27,5509
SC4,2023/8/27,20063
SC28,2023/8/27,959
SC41,2023/8/27,2134
SC17,2023/8/27,16619
SC40,2023/8/27,2831
SC7,2023/8/27,33509
SC60,2023/8/27,50028
SC10,2023/8/27,23390
SC35,2023/8/27,26329
SC3,2023/8/27,10181
SC30,2023/8/27,3177
SC55,2023/8/27,3713
SC6,2023/8/27,23736
SC22,2023/8/27,6852
SC56,2023/8/27,2272
SC25,2023/8/27,35893
SC48,2023/8/28,716
SC61,2023/8/28,821
SC63,2023/8/28,2286
SC54,2023/8/28,9641
SC68,2023/8/28,1241
SC44,2023/8/28,15438
SC15,2023/8/28,3799
SC66,2023/8/28,1028
SC9,2023/8/28,25117
SC53,2023/8/28,37424
SC38,2023/8/28,3842
SC20,2023/8/28,70
SC39,2023/8/28,2586
SC47,2023/8/28,40977
SC8,2023/8/28,35202
SC43,2023/8/28,3488
SC52,2023/8/28,2887
SC31,2023/8/28,9889
SC21,2023/8/28,1578
SC49,2023/8/28,5752
SC37,2023/8/28,758
SC29,2023/8/28,6526
SC5,2023/8/28,18647
SC23,2023/8/28,1503
SC16,2023/8/28,1713
SC36,2023/8/28,709
SC57,2023/8/28,12841
SC2,2023/8/28,8504
SC12,2023/8/28,4383
SC18,2023/8/28,5673
SC19,2023/8/28,7167
SC58,2023/8/28,819
SC27,2023/8/28,4090
SC1,2023/8/28,36179
SC46,2023/8/28,10895
SC34,2023/8/28,10095
SC14,2023/8/28,1832
SC51,2023/8/28,9669
SC26,2023/8/28,4999
SC32,2023/8/28,3838
SC24,2023/8/28,5970
SC4,2023/8/28,20041
SC28,2023/8/28,929
SC41,2023/8/28,2215
SC17,2023/8/28,15966
SC40,2023/8/28,2902
SC7,2023/8/28,33052
SC60,2023/8/28,49876
SC10,2023/8/28,22531
SC35,2023/8/28,25408
SC3,2023/8/28,9877
SC30,2023/8/28,3106
SC55,2023/8/28,3932
SC6,2023/8/28,24021
SC22,2023/8/28,7110
SC56,2023/8/28,1458
SC25,2023/8/28,33666
SC48,2023/8/29,704
SC61,2023/8/29,794
SC63,2023/8/29,2201
SC54,2023/8/29,9390
SC68,2023/8/29,1228
SC44,2023/8/29,15755
SC15,2023/8/29,4536
SC66,2023/8/29,963
SC9,2023/8/29,26296
SC53,2023/8/29,40313
SC38,2023/8/29,3836
SC20,2023/8/29,124
SC39,2023/8/29,2558
SC47,2023/8/29,44473
SC8,2023/8/29,38305
SC43,2023/8/29,3479
SC52,2023/8/29,3323
SC31,2023/8/29,10775
SC21,2023/8/29,1801
SC49,2023/8/29,6382
SC37,2023/8/29,624
SC29,2023/8/29,8139
SC5,2023/8/29,19618
SC23,2023/8/29,1413
SC16,2023/8/29,1916
SC36,2023/8/29,818
SC57,2023/8/29,13454
SC2,2023/8/29,7966
SC12,2023/8/29,3954
SC18,2023/8/29,5864
SC19,2023/8/29,7683
SC58,2023/8/29,801
SC27,2023/8/29,3848
SC1,2023/8/29,38688
SC46,2023/8/29,7377
SC34,2023/8/29,8655
SC14,2023/8/29,1993
SC51,2023/8/29,10584
SC26,2023/8/29,4397
SC32,2023/8/29,3247
SC24,2023/8/29,5908
SC4,2023/8/29,20844
SC28,2023/8/29,964
SC41,2023/8/29,2107
SC17,2023/8/29,18680
SC40,2023/8/29,2906
SC7,2023/8/29,34712
SC60,2023/8/29,51274
SC10,2023/8/29,24233
SC35,2023/8/29,25992
SC3,2023/8/29,9996
SC30,2023/8/29,3241
SC55,2023/8/29,3908
SC6,2023/8/29,24570
SC22,2023/8/29,7399
SC56,2023/8/29,1400
SC25,2023/8/29,40332
SC48,2023/8/30,683
SC61,2023/8/30,791
SC63,2023/8/30,2493
SC54,2023/8/30,9117
SC68,2023/8/30,1188
SC44,2023/8/30,15687
SC15,2023/8/30,4373
SC66,2023/8/30,1008
SC9,2023/8/30,26899
SC53,2023/8/30,39181
SC38,2023/8/30,3789
SC20,2023/8/30,568
SC39,2023/8/30,2572
SC47,2023/8/30,45157
SC8,2023/8/30,39018
SC43,2023/8/30,3320
SC52,2023/8/30,3359
SC31,2023/8/30,10508
SC21,2023/8/30,1798
SC49,2023/8/30,6370
SC37,2023/8/30,667
SC29,2023/8/30,6209
SC5,2023/8/30,19778
SC23,2023/8/30,1440
SC16,2023/8/30,1847
SC36,2023/8/30,1171
SC57,2023/8/30,13725
SC2,2023/8/30,8051
SC12,2023/8/30,3954
SC18,2023/8/30,6131
SC19,2023/8/30,7981
SC58,2023/8/30,776
SC27,2023/8/30,3806
SC1,2023/8/30,40087
SC46,2023/8/30,5261
SC34,2023/8/30,9822
SC14,2023/8/30,1900
SC51,2023/8/30,10551
SC26,2023/8/30,4162
SC32,2023/8/30,2609
SC24,2023/8/30,5889
SC4,2023/8/30,22059
SC28,2023/8/30,1168
SC41,2023/8/30,2224
SC17,2023/8/30,17927
SC40,2023/8/30,2773
SC7,2023/8/30,35291
SC60,2023/8/30,53727
SC10,2023/8/30,24273
SC35,2023/8/30,27020
SC3,2023/8/30,10542
SC30,2023/8/30,3458
SC55,2023/8/30,3860
SC6,2023/8/30,24373
SC22,2023/8/30,7938
SC56,2023/8/30,1741
SC25,2023/8/30,36016
SC48,2023/8/31,691
SC61,2023/8/31,825
SC63,2023/8/31,2911
SC54,2023/8/31,9463
SC68,2023/8/31,1174
SC44,2023/8/31,15778
SC15,2023/8/31,4382
SC66,2023/8/31,975
SC9,2023/8/31,27900
SC53,2023/8/31,35601
SC38,2023/8/31,3692
SC20,2023/8/31,481
SC39,2023/8/31,2365
SC47,2023/8/31,46859
SC8,2023/8/31,39356
SC43,2023/8/31,3114
SC52,2023/8/31,2888
SC31,2023/8/31,11422
SC21,2023/8/31,1662
SC49,2023/8/31,6566
SC37,2023/8/31,853
SC29,2023/8/31,6100
SC5,2023/8/31,20612
SC23,2023/8/31,1441
SC16,2023/8/31,1847
SC36,2023/8/31,1189
SC57,2023/8/31,14608
SC2,2023/8/31,8402
SC12,2023/8/31,4028
SC18,2023/8/31,5748
SC19,2023/8/31,7429
SC58,2023/8/31,799
SC27,2023/8/31,3878
SC1,2023/8/31,40664
SC46,2023/8/31,4196
SC34,2023/8/31,10469
SC14,2023/8/31,1773
SC51,2023/8/31,11061
SC26,2023/8/31,4087
SC32,2023/8/31,2522
SC24,2023/8/31,5835
SC4,2023/8/31,21919
SC28,2023/8/31,1221
SC41,2023/8/31,1956
SC17,2023/8/31,18474
SC40,2023/8/31,2950
SC7,2023/8/31,35850
SC60,2023/8/31,51569
SC10,2023/8/31,25541
SC35,2023/8/31,27050
SC3,2023/8/31,10797
SC30,2023/8/31,3431
SC55,2023/8/31,4179
SC6,2023/8/31,25837
SC22,2023/8/31,7558
SC56,2023/8/31,1813
SC25,2023/8/31,42177
SC48,2023/9/1,982
SC61,2023/9/1,809
SC63,2023/9/1,2347
SC54,2023/9/1,15101
SC68,2023/9/1,1194
SC44,2023/9/1,16252
SC15,2023/9/1,4533
SC66,2023/9/1,1402
SC9,2023/9/1,28901
SC53,2023/9/1,33224
SC38,2023/9/1,4828
SC20,2023/9/1,512
SC39,2023/9/1,3385
SC47,2023/9/1,48032
SC8,2023/9/1,41064
SC43,2023/9/1,3287
SC52,2023/9/1,5581
SC31,2023/9/1,10712
SC21,2023/9/1,2998
SC49,2023/9/1,6812
SC37,2023/9/1,1364
SC29,2023/9/1,7409
SC5,2023/9/1,22342
SC23,2023/9/1,1701
SC16,2023/9/1,3470
SC36,2023/9/1,1318
SC57,2023/9/1,15078
SC2,2023/9/1,10461
SC12,2023/9/1,4216
SC18,2023/9/1,6624
SC19,2023/9/1,7366
SC58,2023/9/1,964
SC27,2023/9/1,5638
SC1,2023/9/1,44955
SC46,2023/9/1,3265
SC34,2023/9/1,13611
SC14,2023/9/1,1461
SC51,2023/9/1,11220
SC26,2023/9/1,4829
SC32,2023/9/1,7082
SC24,2023/9/1,6445
SC4,2023/9/1,23035
SC28,2023/9/1,1360
SC41,2023/9/1,1916
SC17,2023/9/1,18625
SC40,2023/9/1,4211
SC7,2023/9/1,37151
SC60,2023/9/1,54685
SC10,2023/9/1,25605
SC35,2023/9/1,27145
SC3,2023/9/1,10558
SC30,2023/9/1,6406
SC55,2023/9/1,3909
SC6,2023/9/1,26811
SC22,2023/9/1,7208
SC56,2023/9/1,3939
SC25,2023/9/1,41531
SC48,2023/9/2,896
SC61,2023/9/2,934
SC63,2023/9/2,2130
SC54,2023/9/2,11419
SC68,2023/9/2,1237
SC44,2023/9/2,16170
SC15,2023/9/2,3784
SC66,2023/9/2,1038
SC9,2023/9/2,28156
SC53,2023/9/2,32049
SC38,2023/9/2,4288
SC20,2023/9/2,408
SC39,2023/9/2,2766
SC47,2023/9/2,50911
SC8,2023/9/2,41441
SC43,2023/9/2,3314
SC52,2023/9/2,4767
SC31,2023/9/2,11932
SC21,2023/9/2,3074
SC49,2023/9/2,7341
SC37,2023/9/2,752
SC29,2023/9/2,7265
SC5,2023/9/2,24677
SC23,2023/9/2,1621
SC16,2023/9/2,3114
SC36,2023/9/2,940
SC57,2023/9/2,16027
SC2,2023/9/2,8714
SC12,2023/9/2,3981
SC18,2023/9/2,6557
SC19,2023/9/2,6890
SC58,2023/9/2,727
SC27,2023/9/2,4408
SC1,2023/9/2,45716
SC46,2023/9/2,2574
SC34,2023/9/2,10109
SC14,2023/9/2,1358
SC51,2023/9/2,12294
SC26,2023/9/2,4872
SC32,2023/9/2,4187
SC24,2023/9/2,6340
SC4,2023/9/2,24271
SC28,2023/9/2,1678
SC41,2023/9/2,2119
SC17,2023/9/2,21410
SC40,2023/9/2,3278
SC7,2023/9/2,41393
SC60,2023/9/2,52640
SC10,2023/9/2,26602
SC35,2023/9/2,28863
SC3,2023/9/2,12121
SC30,2023/9/2,5651
SC55,2023/9/2,3917
SC6,2023/9/2,26412
SC22,2023/9/2,7383
SC56,2023/9/2,2209
SC25,2023/9/2,41542
SC48,2023/9/3,796
SC61,2023/9/3,895
SC63,2023/9/3,2227
SC54,2023/9/3,10210
SC68,2023/9/3,1266
SC44,2023/9/3,15731
SC15,2023/9/3,4046
SC66,2023/9/3,941
SC9,2023/9/3,26530
SC53,2023/9/3,32134
SC38,2023/9/3,3817
SC20,2023/9/3,353
SC39,2023/9/3,2568
SC47,2023/9/3,46179
SC8,2023/9/3,38362
SC43,2023/9/3,3373
SC52,2023/9/3,3174
SC31,2023/9/3,10076
SC21,2023/9/3,2627
SC49,2023/9/3,6804
SC37,2023/9/3,726
SC29,2023/9/3,6581
SC5,2023/9/3,22637
SC23,2023/9/3,1582
SC16,2023/9/3,2312
SC36,2023/9/3,943
SC57,2023/9/3,14785
SC2,2023/9/3,7705
SC12,2023/9/3,3781
SC18,2023/9/3,6039
SC19,2023/9/3,5434
SC58,2023/9/3,706
SC27,2023/9/3,4012
SC1,2023/9/3,40073
SC46,2023/9/3,2331
SC34,2023/9/3,9044
SC14,2023/9/3,1403
SC51,2023/9/3,10928
SC26,2023/9/3,4868
SC32,2023/9/3,3262
SC24,2023/9/3,6390
SC4,2023/9/3,22733
SC28,2023/9/3,1684
SC41,2023/9/3,1954
SC17,2023/9/3,19274
SC40,2023/9/3,3236
SC7,2023/9/3,36843
SC60,2023/9/3,52285
SC10,2023/9/3,24753
SC35,2023/9/3,26954
SC3,2023/9/3,10629
SC30,2023/9/3,4701
SC55,2023/9/3,3969
SC6,2023/9/3,24890
SC22,2023/9/3,6690
SC56,2023/9/3,1666
SC25,2023/9/3,36850
SC48,2023/9/4,807
SC61,2023/9/4,882
SC63,2023/9/4,2145
SC54,2023/9/4,10207
SC68,2023/9/4,1291
SC44,2023/9/4,15861
SC15,2023/9/4,3558
SC66,2023/9/4,1009
SC9,2023/9/4,24795
SC53,2023/9/4,30173
SC38,2023/9/4,4162
SC20,2023/9/4,425
SC39,2023/9/4,2575
SC47,2023/9/4,43383
SC8,2023/9/4,37162
SC43,2023/9/4,3338
SC52,2023/9/4,2916
SC31,2023/9/4,10120
SC21,2023/9/4,2058
SC49,2023/9/4,6862
SC37,2023/9/4,601
SC29,2023/9/4,6675
SC5,2023/9/4,20304
SC23,2023/9/4,1667
SC16,2023/9/4,2309
SC36,2023/9/4,1076
SC57,2023/9/4,13922
SC2,2023/9/4,8794
SC12,2023/9/4,3917
SC18,2023/9/4,6026
SC19,2023/9/4,8150
SC58,2023/9/4,830
SC27,2023/9/4,4283
SC1,2023/9/4,38701
SC46,2023/9/4,2620
SC34,2023/9/4,9297
SC14,2023/9/4,1455
SC51,2023/9/4,10870
SC26,2023/9/4,5522
SC32,2023/9/4,3487
SC24,2023/9/4,6858
SC4,2023/9/4,21505
SC28,2023/9/4,1368
SC41,2023/9/4,2145
SC17,2023/9/4,17800
SC40,2023/9/4,3254
SC7,2023/9/4,35100
SC60,2023/9/4,51715
SC10,2023/9/4,23238
SC35,2023/9/4,26920
SC3,2023/9/4,10562
SC30,2023/9/4,3772
SC55,2023/9/4,4245
SC6,2023/9/4,24731
SC22,2023/9/4,6629
SC56,2023/9/4,2809
SC25,2023/9/4,38625
SC48,2023/9/5,723
SC61,2023/9/5,1033
SC63,2023/9/5,2095
SC54,2023/9/5,11576
SC68,2023/9/5,1333
SC44,2023/9/5,15820
SC15,2023/9/5,3395
SC66,2023/9/5,955
SC9,2023/9/5,26663
SC53,2023/9/5,33202
SC38,2023/9/5,3970
SC20,2023/9/5,560
SC39,2023/9/5,2648
SC47,2023/9/5,47529
SC8,2023/9/5,39854
SC43,2023/9/5,3195
SC52,2023/9/5,3081
SC31,2023/9/5,10958
SC21,2023/9/5,2035
SC49,2023/9/5,7137
